"","studyid","intid","int_type","spp","year","species","phenofreq","short_site","terrestrial","phenovalue","newyear","yr1981"
"1872","HMK048",216,"predation","spp2",1988,"Accipiter nisus","weekly","netherlands","terrestrial",80.5268,1988,7
"1888","HMK048",217,"predation","spp2",1988,"Accipiter nisus","weekly","netherlands","terrestrial",80.5268,1988,7
"1841","HMK048",214,"predation","spp2",1989,"Accipiter nisus","weekly","netherlands","terrestrial",74.2925,1989,8
"1857","HMK048",215,"predation","spp2",1989,"Accipiter nisus","weekly","netherlands","terrestrial",74.2925,1989,8
"1873","HMK048",216,"predation","spp2",1989,"Accipiter nisus","weekly","netherlands","terrestrial",74.2925,1989,8
"1889","HMK048",217,"predation","spp2",1989,"Accipiter nisus","weekly","netherlands","terrestrial",74.2925,1989,8
"1842","HMK048",214,"predation","spp2",1990,"Accipiter nisus","weekly","netherlands","terrestrial",79.5703,1990,9
"1858","HMK048",215,"predation","spp2",1990,"Accipiter nisus","weekly","netherlands","terrestrial",79.5703,1990,9
"1874","HMK048",216,"predation","spp2",1990,"Accipiter nisus","weekly","netherlands","terrestrial",79.5703,1990,9
"1890","HMK048",217,"predation","spp2",1990,"Accipiter nisus","weekly","netherlands","terrestrial",79.5703,1990,9
"1843","HMK048",214,"predation","spp2",1992,"Accipiter nisus","weekly","netherlands","terrestrial",79.2758,1992,11
"1859","HMK048",215,"predation","spp2",1992,"Accipiter nisus","weekly","netherlands","terrestrial",79.2758,1992,11
"1875","HMK048",216,"predation","spp2",1992,"Accipiter nisus","weekly","netherlands","terrestrial",79.2758,1992,11
"1891","HMK048",217,"predation","spp2",1992,"Accipiter nisus","weekly","netherlands","terrestrial",79.2758,1992,11
"1844","HMK048",214,"predation","spp2",1996,"Accipiter nisus","weekly","netherlands","terrestrial",82.3036,1996,15
"1860","HMK048",215,"predation","spp2",1996,"Accipiter nisus","weekly","netherlands","terrestrial",82.3036,1996,15
"1876","HMK048",216,"predation","spp2",1996,"Accipiter nisus","weekly","netherlands","terrestrial",82.3036,1996,15
"1892","HMK048",217,"predation","spp2",1996,"Accipiter nisus","weekly","netherlands","terrestrial",82.3036,1996,15
"1845","HMK048",214,"predation","spp2",1997,"Accipiter nisus","weekly","netherlands","terrestrial",79.6861,1997,16
"1861","HMK048",215,"predation","spp2",1997,"Accipiter nisus","weekly","netherlands","terrestrial",79.6861,1997,16
"1877","HMK048",216,"predation","spp2",1997,"Accipiter nisus","weekly","netherlands","terrestrial",79.6861,1997,16
"1893","HMK048",217,"predation","spp2",1997,"Accipiter nisus","weekly","netherlands","terrestrial",79.6861,1997,16
"1846","HMK048",214,"predation","spp2",1998,"Accipiter nisus","weekly","netherlands","terrestrial",81.3492,1998,17
"1862","HMK048",215,"predation","spp2",1998,"Accipiter nisus","weekly","netherlands","terrestrial",81.3492,1998,17
"1878","HMK048",216,"predation","spp2",1998,"Accipiter nisus","weekly","netherlands","terrestrial",81.3492,1998,17
"1894","HMK048",217,"predation","spp2",1998,"Accipiter nisus","weekly","netherlands","terrestrial",81.3492,1998,17
"1847","HMK048",214,"predation","spp2",1999,"Accipiter nisus","weekly","netherlands","terrestrial",78.4026,1999,18
"1863","HMK048",215,"predation","spp2",1999,"Accipiter nisus","weekly","netherlands","terrestrial",78.4026,1999,18
"1879","HMK048",216,"predation","spp2",1999,"Accipiter nisus","weekly","netherlands","terrestrial",78.4026,1999,18
"1895","HMK048",217,"predation","spp2",1999,"Accipiter nisus","weekly","netherlands","terrestrial",78.4026,1999,18
"1848","HMK048",214,"predation","spp2",2000,"Accipiter nisus","weekly","netherlands","terrestrial",80.3948,2000,19
"1864","HMK048",215,"predation","spp2",2000,"Accipiter nisus","weekly","netherlands","terrestrial",80.3948,2000,19
"1880","HMK048",216,"predation","spp2",2000,"Accipiter nisus","weekly","netherlands","terrestrial",80.3948,2000,19
"1896","HMK048",217,"predation","spp2",2000,"Accipiter nisus","weekly","netherlands","terrestrial",80.3948,2000,19
"1849","HMK048",214,"predation","spp2",2001,"Accipiter nisus","weekly","netherlands","terrestrial",82.7138,2001,20
"1865","HMK048",215,"predation","spp2",2001,"Accipiter nisus","weekly","netherlands","terrestrial",82.7138,2001,20
"1881","HMK048",216,"predation","spp2",2001,"Accipiter nisus","weekly","netherlands","terrestrial",82.7138,2001,20
"1897","HMK048",217,"predation","spp2",2001,"Accipiter nisus","weekly","netherlands","terrestrial",82.7138,2001,20
"1850","HMK048",214,"predation","spp2",2002,"Accipiter nisus","weekly","netherlands","terrestrial",85.3619,2002,21
"1866","HMK048",215,"predation","spp2",2002,"Accipiter nisus","weekly","netherlands","terrestrial",85.3619,2002,21
"1882","HMK048",216,"predation","spp2",2002,"Accipiter nisus","weekly","netherlands","terrestrial",85.3619,2002,21
"1898","HMK048",217,"predation","spp2",2002,"Accipiter nisus","weekly","netherlands","terrestrial",85.3619,2002,21
"1851","HMK048",214,"predation","spp2",2003,"Accipiter nisus","weekly","netherlands","terrestrial",87.683,2003,22
"1867","HMK048",215,"predation","spp2",2003,"Accipiter nisus","weekly","netherlands","terrestrial",87.683,2003,22
"1883","HMK048",216,"predation","spp2",2003,"Accipiter nisus","weekly","netherlands","terrestrial",87.683,2003,22
"1899","HMK048",217,"predation","spp2",2003,"Accipiter nisus","weekly","netherlands","terrestrial",87.683,2003,22
"1852","HMK048",214,"predation","spp2",2004,"Accipiter nisus","weekly","netherlands","terrestrial",81.4487,2004,23
"1868","HMK048",215,"predation","spp2",2004,"Accipiter nisus","weekly","netherlands","terrestrial",81.4487,2004,23
"1884","HMK048",216,"predation","spp2",2004,"Accipiter nisus","weekly","netherlands","terrestrial",81.4487,2004,23
"1900","HMK048",217,"predation","spp2",2004,"Accipiter nisus","weekly","netherlands","terrestrial",81.4487,2004,23
"2117","SET005",231,"predation","spp2",1983,"Alca torda","daily","northsea","aquatic",176.5561,1983,2
"2118","SET005",231,"predation","spp2",1984,"Alca torda","daily","northsea","aquatic",175.8386,1984,3
"2119","SET005",231,"predation","spp2",1985,"Alca torda","daily","northsea","aquatic",173.5366,1985,4
"2120","SET005",231,"predation","spp2",1986,"Alca torda","daily","northsea","aquatic",178.1077,1986,5
"2121","SET005",231,"predation","spp2",1987,"Alca torda","daily","northsea","aquatic",173.6529,1987,6
"2122","SET005",231,"predation","spp2",1988,"Alca torda","daily","northsea","aquatic",172.4872,1988,7
"2123","SET005",231,"predation","spp2",1989,"Alca torda","daily","northsea","aquatic",169.0077,1989,8
"2124","SET005",231,"predation","spp2",1990,"Alca torda","daily","northsea","aquatic",173.5089,1990,9
"2125","SET005",231,"predation","spp2",1991,"Alca torda","daily","northsea","aquatic",172.0553,1991,10
"2126","SET005",231,"predation","spp2",1992,"Alca torda","daily","northsea","aquatic",169.7929,1992,11
"2127","SET005",231,"predation","spp2",1993,"Alca torda","daily","northsea","aquatic",172.3492,1993,12
"2128","SET005",231,"predation","spp2",1994,"Alca torda","daily","northsea","aquatic",177.191,1994,13
"2129","SET005",231,"predation","spp2",1995,"Alca torda","daily","northsea","aquatic",177.3347,1995,14
"2130","SET005",231,"predation","spp2",1996,"Alca torda","daily","northsea","aquatic",184.1898,1996,15
"2131","SET005",231,"predation","spp2",1997,"Alca torda","daily","northsea","aquatic",168.656,1997,16
"2132","SET005",231,"predation","spp2",1998,"Alca torda","daily","northsea","aquatic",179.9814,1998,17
"2133","SET005",231,"predation","spp2",1999,"Alca torda","daily","northsea","aquatic",177.1558,1999,18
"2134","SET005",231,"predation","spp2",2000,"Alca torda","daily","northsea","aquatic",175.6529,2000,19
"2135","SET005",231,"predation","spp2",2001,"Alca torda","daily","northsea","aquatic",176.4672,2001,20
"2136","SET005",231,"predation","spp2",2002,"Alca torda","daily","northsea","aquatic",172.767,2002,21
"2137","SET005",231,"predation","spp2",2003,"Alca torda","daily","northsea","aquatic",171.5128,2003,22
"2138","SET005",231,"predation","spp2",2004,"Alca torda","daily","northsea","aquatic",181.9512,2004,23
"2139","SET005",231,"predation","spp2",2005,"Alca torda","daily","northsea","aquatic",181.2529,2005,24
"2140","SET005",231,"predation","spp2",2006,"Alca torda","daily","northsea","aquatic",179.6053,2006,25
"1997","SET005",231,"predation","spp1",1983,"Ammodytes marinus","daily","northsea","aquatic",151.633,1983,2
"2021","SET005",232,"predation","spp1",1983,"Ammodytes marinus","daily","northsea","aquatic",151.633,1983,2
"2045","SET005",233,"predation","spp1",1983,"Ammodytes marinus","daily","northsea","aquatic",151.633,1983,2
"2069","SET005",234,"predation","spp1",1983,"Ammodytes marinus","daily","northsea","aquatic",151.633,1983,2
"2093","SET005",235,"predation","spp1",1983,"Ammodytes marinus","daily","northsea","aquatic",151.633,1983,2
"1998","SET005",231,"predation","spp1",1984,"Ammodytes marinus","daily","northsea","aquatic",140.454,1984,3
"2022","SET005",232,"predation","spp1",1984,"Ammodytes marinus","daily","northsea","aquatic",140.454,1984,3
"2046","SET005",233,"predation","spp1",1984,"Ammodytes marinus","daily","northsea","aquatic",140.454,1984,3
"2070","SET005",234,"predation","spp1",1984,"Ammodytes marinus","daily","northsea","aquatic",140.454,1984,3
"2094","SET005",235,"predation","spp1",1984,"Ammodytes marinus","daily","northsea","aquatic",140.454,1984,3
"1999","SET005",231,"predation","spp1",1985,"Ammodytes marinus","daily","northsea","aquatic",150.152,1985,4
"2023","SET005",232,"predation","spp1",1985,"Ammodytes marinus","daily","northsea","aquatic",150.152,1985,4
"2047","SET005",233,"predation","spp1",1985,"Ammodytes marinus","daily","northsea","aquatic",150.152,1985,4
"2071","SET005",234,"predation","spp1",1985,"Ammodytes marinus","daily","northsea","aquatic",150.152,1985,4
"2095","SET005",235,"predation","spp1",1985,"Ammodytes marinus","daily","northsea","aquatic",150.152,1985,4
"2000","SET005",231,"predation","spp1",1986,"Ammodytes marinus","daily","northsea","aquatic",165.8,1986,5
"2024","SET005",232,"predation","spp1",1986,"Ammodytes marinus","daily","northsea","aquatic",165.8,1986,5
"2048","SET005",233,"predation","spp1",1986,"Ammodytes marinus","daily","northsea","aquatic",165.8,1986,5
"2072","SET005",234,"predation","spp1",1986,"Ammodytes marinus","daily","northsea","aquatic",165.8,1986,5
"2096","SET005",235,"predation","spp1",1986,"Ammodytes marinus","daily","northsea","aquatic",165.8,1986,5
"2001","SET005",231,"predation","spp1",1987,"Ammodytes marinus","daily","northsea","aquatic",158.576,1987,6
"2025","SET005",232,"predation","spp1",1987,"Ammodytes marinus","daily","northsea","aquatic",158.576,1987,6
"2049","SET005",233,"predation","spp1",1987,"Ammodytes marinus","daily","northsea","aquatic",158.576,1987,6
"2073","SET005",234,"predation","spp1",1987,"Ammodytes marinus","daily","northsea","aquatic",158.576,1987,6
"2097","SET005",235,"predation","spp1",1987,"Ammodytes marinus","daily","northsea","aquatic",158.576,1987,6
"2002","SET005",231,"predation","spp1",1988,"Ammodytes marinus","daily","northsea","aquatic",162.641,1988,7
"2026","SET005",232,"predation","spp1",1988,"Ammodytes marinus","daily","northsea","aquatic",162.641,1988,7
"2050","SET005",233,"predation","spp1",1988,"Ammodytes marinus","daily","northsea","aquatic",162.641,1988,7
"2074","SET005",234,"predation","spp1",1988,"Ammodytes marinus","daily","northsea","aquatic",162.641,1988,7
"2098","SET005",235,"predation","spp1",1988,"Ammodytes marinus","daily","northsea","aquatic",162.641,1988,7
"2003","SET005",231,"predation","spp1",1989,"Ammodytes marinus","daily","northsea","aquatic",148.7,1989,8
"2027","SET005",232,"predation","spp1",1989,"Ammodytes marinus","daily","northsea","aquatic",148.7,1989,8
"2051","SET005",233,"predation","spp1",1989,"Ammodytes marinus","daily","northsea","aquatic",148.7,1989,8
"2075","SET005",234,"predation","spp1",1989,"Ammodytes marinus","daily","northsea","aquatic",148.7,1989,8
"2099","SET005",235,"predation","spp1",1989,"Ammodytes marinus","daily","northsea","aquatic",148.7,1989,8
"2004","SET005",231,"predation","spp1",1990,"Ammodytes marinus","daily","northsea","aquatic",146.432,1990,9
"2028","SET005",232,"predation","spp1",1990,"Ammodytes marinus","daily","northsea","aquatic",146.432,1990,9
"2052","SET005",233,"predation","spp1",1990,"Ammodytes marinus","daily","northsea","aquatic",146.432,1990,9
"2076","SET005",234,"predation","spp1",1990,"Ammodytes marinus","daily","northsea","aquatic",146.432,1990,9
"2100","SET005",235,"predation","spp1",1990,"Ammodytes marinus","daily","northsea","aquatic",146.432,1990,9
"2005","SET005",231,"predation","spp1",1991,"Ammodytes marinus","daily","northsea","aquatic",156.363,1991,10
"2029","SET005",232,"predation","spp1",1991,"Ammodytes marinus","daily","northsea","aquatic",156.363,1991,10
"2053","SET005",233,"predation","spp1",1991,"Ammodytes marinus","daily","northsea","aquatic",156.363,1991,10
"2077","SET005",234,"predation","spp1",1991,"Ammodytes marinus","daily","northsea","aquatic",156.363,1991,10
"2101","SET005",235,"predation","spp1",1991,"Ammodytes marinus","daily","northsea","aquatic",156.363,1991,10
"2006","SET005",231,"predation","spp1",1992,"Ammodytes marinus","daily","northsea","aquatic",154.716,1992,11
"2030","SET005",232,"predation","spp1",1992,"Ammodytes marinus","daily","northsea","aquatic",154.716,1992,11
"2054","SET005",233,"predation","spp1",1992,"Ammodytes marinus","daily","northsea","aquatic",154.716,1992,11
"2078","SET005",234,"predation","spp1",1992,"Ammodytes marinus","daily","northsea","aquatic",154.716,1992,11
"2102","SET005",235,"predation","spp1",1992,"Ammodytes marinus","daily","northsea","aquatic",154.716,1992,11
"2007","SET005",231,"predation","spp1",1993,"Ammodytes marinus","daily","northsea","aquatic",162.503,1993,12
"2031","SET005",232,"predation","spp1",1993,"Ammodytes marinus","daily","northsea","aquatic",162.503,1993,12
"2055","SET005",233,"predation","spp1",1993,"Ammodytes marinus","daily","northsea","aquatic",162.503,1993,12
"2079","SET005",234,"predation","spp1",1993,"Ammodytes marinus","daily","northsea","aquatic",162.503,1993,12
"2103","SET005",235,"predation","spp1",1993,"Ammodytes marinus","daily","northsea","aquatic",162.503,1993,12
"2008","SET005",231,"predation","spp1",1994,"Ammodytes marinus","daily","northsea","aquatic",165.191,1994,13
"2032","SET005",232,"predation","spp1",1994,"Ammodytes marinus","daily","northsea","aquatic",165.191,1994,13
"2056","SET005",233,"predation","spp1",1994,"Ammodytes marinus","daily","northsea","aquatic",165.191,1994,13
"2080","SET005",234,"predation","spp1",1994,"Ammodytes marinus","daily","northsea","aquatic",165.191,1994,13
"2104","SET005",235,"predation","spp1",1994,"Ammodytes marinus","daily","northsea","aquatic",165.191,1994,13
"2009","SET005",231,"predation","spp1",1995,"Ammodytes marinus","daily","northsea","aquatic",177.027,1995,14
"2033","SET005",232,"predation","spp1",1995,"Ammodytes marinus","daily","northsea","aquatic",177.027,1995,14
"2057","SET005",233,"predation","spp1",1995,"Ammodytes marinus","daily","northsea","aquatic",177.027,1995,14
"2081","SET005",234,"predation","spp1",1995,"Ammodytes marinus","daily","northsea","aquatic",177.027,1995,14
"2105","SET005",235,"predation","spp1",1995,"Ammodytes marinus","daily","northsea","aquatic",177.027,1995,14
"2010","SET005",231,"predation","spp1",1996,"Ammodytes marinus","daily","northsea","aquatic",162.036,1996,15
"2034","SET005",232,"predation","spp1",1996,"Ammodytes marinus","daily","northsea","aquatic",162.036,1996,15
"2058","SET005",233,"predation","spp1",1996,"Ammodytes marinus","daily","northsea","aquatic",162.036,1996,15
"2082","SET005",234,"predation","spp1",1996,"Ammodytes marinus","daily","northsea","aquatic",162.036,1996,15
"2106","SET005",235,"predation","spp1",1996,"Ammodytes marinus","daily","northsea","aquatic",162.036,1996,15
"2011","SET005",231,"predation","spp1",1997,"Ammodytes marinus","daily","northsea","aquatic",136.656,1997,16
"2035","SET005",232,"predation","spp1",1997,"Ammodytes marinus","daily","northsea","aquatic",136.656,1997,16
"2059","SET005",233,"predation","spp1",1997,"Ammodytes marinus","daily","northsea","aquatic",136.656,1997,16
"2083","SET005",234,"predation","spp1",1997,"Ammodytes marinus","daily","northsea","aquatic",136.656,1997,16
"2107","SET005",235,"predation","spp1",1997,"Ammodytes marinus","daily","northsea","aquatic",136.656,1997,16
"2012","SET005",231,"predation","spp1",1998,"Ammodytes marinus","daily","northsea","aquatic",171.366,1998,17
"2036","SET005",232,"predation","spp1",1998,"Ammodytes marinus","daily","northsea","aquatic",171.366,1998,17
"2060","SET005",233,"predation","spp1",1998,"Ammodytes marinus","daily","northsea","aquatic",171.366,1998,17
"2084","SET005",234,"predation","spp1",1998,"Ammodytes marinus","daily","northsea","aquatic",171.366,1998,17
"2108","SET005",235,"predation","spp1",1998,"Ammodytes marinus","daily","northsea","aquatic",171.366,1998,17
"2013","SET005",231,"predation","spp1",1999,"Ammodytes marinus","daily","northsea","aquatic",171.002,1999,18
"2037","SET005",232,"predation","spp1",1999,"Ammodytes marinus","daily","northsea","aquatic",171.002,1999,18
"2061","SET005",233,"predation","spp1",1999,"Ammodytes marinus","daily","northsea","aquatic",171.002,1999,18
"2085","SET005",234,"predation","spp1",1999,"Ammodytes marinus","daily","northsea","aquatic",171.002,1999,18
"2109","SET005",235,"predation","spp1",1999,"Ammodytes marinus","daily","northsea","aquatic",171.002,1999,18
"2014","SET005",231,"predation","spp1",2000,"Ammodytes marinus","daily","northsea","aquatic",144.576,2000,19
"2038","SET005",232,"predation","spp1",2000,"Ammodytes marinus","daily","northsea","aquatic",144.576,2000,19
"2062","SET005",233,"predation","spp1",2000,"Ammodytes marinus","daily","northsea","aquatic",144.576,2000,19
"2086","SET005",234,"predation","spp1",2000,"Ammodytes marinus","daily","northsea","aquatic",144.576,2000,19
"2110","SET005",235,"predation","spp1",2000,"Ammodytes marinus","daily","northsea","aquatic",144.576,2000,19
"2015","SET005",231,"predation","spp1",2001,"Ammodytes marinus","daily","northsea","aquatic",157.698,2001,20
"2039","SET005",232,"predation","spp1",2001,"Ammodytes marinus","daily","northsea","aquatic",157.698,2001,20
"2063","SET005",233,"predation","spp1",2001,"Ammodytes marinus","daily","northsea","aquatic",157.698,2001,20
"2087","SET005",234,"predation","spp1",2001,"Ammodytes marinus","daily","northsea","aquatic",157.698,2001,20
"2111","SET005",235,"predation","spp1",2001,"Ammodytes marinus","daily","northsea","aquatic",157.698,2001,20
"2016","SET005",231,"predation","spp1",2002,"Ammodytes marinus","daily","northsea","aquatic",160.767,2002,21
"2040","SET005",232,"predation","spp1",2002,"Ammodytes marinus","daily","northsea","aquatic",160.767,2002,21
"2064","SET005",233,"predation","spp1",2002,"Ammodytes marinus","daily","northsea","aquatic",160.767,2002,21
"2088","SET005",234,"predation","spp1",2002,"Ammodytes marinus","daily","northsea","aquatic",160.767,2002,21
"2112","SET005",235,"predation","spp1",2002,"Ammodytes marinus","daily","northsea","aquatic",160.767,2002,21
"2017","SET005",231,"predation","spp1",2003,"Ammodytes marinus","daily","northsea","aquatic",165.359,2003,22
"2041","SET005",232,"predation","spp1",2003,"Ammodytes marinus","daily","northsea","aquatic",165.359,2003,22
"2065","SET005",233,"predation","spp1",2003,"Ammodytes marinus","daily","northsea","aquatic",165.359,2003,22
"2089","SET005",234,"predation","spp1",2003,"Ammodytes marinus","daily","northsea","aquatic",165.359,2003,22
"2113","SET005",235,"predation","spp1",2003,"Ammodytes marinus","daily","northsea","aquatic",165.359,2003,22
"2018","SET005",231,"predation","spp1",2004,"Ammodytes marinus","daily","northsea","aquatic",215.182,2004,23
"2042","SET005",232,"predation","spp1",2004,"Ammodytes marinus","daily","northsea","aquatic",215.182,2004,23
"2066","SET005",233,"predation","spp1",2004,"Ammodytes marinus","daily","northsea","aquatic",215.182,2004,23
"2090","SET005",234,"predation","spp1",2004,"Ammodytes marinus","daily","northsea","aquatic",215.182,2004,23
"2114","SET005",235,"predation","spp1",2004,"Ammodytes marinus","daily","northsea","aquatic",215.182,2004,23
"2019","SET005",231,"predation","spp1",2005,"Ammodytes marinus","daily","northsea","aquatic",182.176,2005,24
"2043","SET005",232,"predation","spp1",2005,"Ammodytes marinus","daily","northsea","aquatic",182.176,2005,24
"2067","SET005",233,"predation","spp1",2005,"Ammodytes marinus","daily","northsea","aquatic",182.176,2005,24
"2091","SET005",234,"predation","spp1",2005,"Ammodytes marinus","daily","northsea","aquatic",182.176,2005,24
"2115","SET005",235,"predation","spp1",2005,"Ammodytes marinus","daily","northsea","aquatic",182.176,2005,24
"2020","SET005",231,"predation","spp1",2006,"Ammodytes marinus","daily","northsea","aquatic",187.913,2006,25
"2044","SET005",232,"predation","spp1",2006,"Ammodytes marinus","daily","northsea","aquatic",187.913,2006,25
"2068","SET005",233,"predation","spp1",2006,"Ammodytes marinus","daily","northsea","aquatic",187.913,2006,25
"2092","SET005",234,"predation","spp1",2006,"Ammodytes marinus","daily","northsea","aquatic",187.913,2006,25
"2116","SET005",235,"predation","spp1",2006,"Ammodytes marinus","daily","northsea","aquatic",187.913,2006,25
"1650","HMK043",209,"predation","spp2",1976,"Beroe gracilis","weekly","northsea","aquatic",166.5244,1976,-5
"1651","HMK043",209,"predation","spp2",1978,"Beroe gracilis","weekly","northsea","aquatic",185.6869,1978,-3
"1652","HMK043",209,"predation","spp2",1979,"Beroe gracilis","weekly","northsea","aquatic",186.9294,1979,-2
"1653","HMK043",209,"predation","spp2",1981,"Beroe gracilis","weekly","northsea","aquatic",172.5108,1981,0
"1654","HMK043",209,"predation","spp2",1982,"Beroe gracilis","weekly","northsea","aquatic",174.713,1982,1
"1655","HMK043",209,"predation","spp2",1983,"Beroe gracilis","weekly","northsea","aquatic",170.66,1983,2
"1656","HMK043",209,"predation","spp2",1984,"Beroe gracilis","weekly","northsea","aquatic",187.586,1984,3
"1657","HMK043",209,"predation","spp2",1985,"Beroe gracilis","weekly","northsea","aquatic",189.8225,1985,4
"1658","HMK043",209,"predation","spp2",1986,"Beroe gracilis","weekly","northsea","aquatic",210.9492,1986,5
"1659","HMK043",209,"predation","spp2",1987,"Beroe gracilis","weekly","northsea","aquatic",135.4766,1987,6
"1660","HMK043",209,"predation","spp2",1988,"Beroe gracilis","weekly","northsea","aquatic",144.0026,1988,7
"1661","HMK043",209,"predation","spp2",1989,"Beroe gracilis","weekly","northsea","aquatic",127.3475,1989,8
"1662","HMK043",209,"predation","spp2",1990,"Beroe gracilis","weekly","northsea","aquatic",123.2945,1990,9
"1663","HMK043",209,"predation","spp2",1991,"Beroe gracilis","weekly","northsea","aquatic",175.9359,1991,10
"1664","HMK043",209,"predation","spp2",1992,"Beroe gracilis","weekly","northsea","aquatic",138.2339,1992,11
"1665","HMK043",209,"predation","spp2",1993,"Beroe gracilis","weekly","northsea","aquatic",182.4746,1993,12
"1666","HMK043",209,"predation","spp2",1994,"Beroe gracilis","weekly","northsea","aquatic",109.1139,1994,13
"1667","HMK043",209,"predation","spp2",1995,"Beroe gracilis","weekly","northsea","aquatic",161.7441,1995,14
"1668","HMK043",209,"predation","spp2",1996,"Beroe gracilis","weekly","northsea","aquatic",220.6631,1996,15
"1669","HMK043",209,"predation","spp2",1997,"Beroe gracilis","weekly","northsea","aquatic",233.4234,1997,16
"1670","HMK043",209,"predation","spp2",1998,"Beroe gracilis","weekly","northsea","aquatic",155.8396,1998,17
"1671","HMK043",209,"predation","spp2",1999,"Beroe gracilis","weekly","northsea","aquatic",134.9614,1999,18
"1672","HMK043",209,"predation","spp2",2000,"Beroe gracilis","weekly","northsea","aquatic",156.0888,2000,19
"1673","HMK043",209,"predation","spp2",2001,"Beroe gracilis","weekly","northsea","aquatic",204.5295,2001,20
"1674","HMK043",209,"predation","spp2",2002,"Beroe gracilis","weekly","northsea","aquatic",154.2485,2002,21
"1675","HMK043",209,"predation","spp2",2003,"Beroe gracilis","weekly","northsea","aquatic",160.6738,2003,22
"1676","HMK043",209,"predation","spp2",2004,"Beroe gracilis","weekly","northsea","aquatic",154.532,2004,23
"451","HMK023",175,"pollination","spp1",1999,"Bombus spp.","daily","japan","terrestrial",115.5,1999,18
"452","HMK023",175,"pollination","spp1",2000,"Bombus spp.","daily","japan","terrestrial",121,2000,19
"453","HMK023",175,"pollination","spp1",2001,"Bombus spp.","daily","japan","terrestrial",116,2001,20
"454","HMK023",175,"pollination","spp1",2002,"Bombus spp.","daily","japan","terrestrial",111,2002,21
"455","HMK023",175,"pollination","spp1",2003,"Bombus spp.","daily","japan","terrestrial",115,2003,22
"456","HMK023",175,"pollination","spp1",2004,"Bombus spp.","daily","japan","terrestrial",116,2004,23
"457","HMK023",175,"pollination","spp1",2005,"Bombus spp.","daily","japan","terrestrial",121,2005,24
"458","HMK023",175,"pollination","spp1",2006,"Bombus spp.","daily","japan","terrestrial",120.5,2006,25
"459","HMK023",175,"pollination","spp1",2007,"Bombus spp.","daily","japan","terrestrial",115,2007,26
